Date,Open,High,Low,Close,Adj Close,Volume
2020-10-15,4.51071,4.56065,4.5098,4.51188,4.51188,0.0
2020-10-16,4.53975,4.57957,4.5355,4.5398,4.5398,0.0
2020-10-19,4.54148,4.57718,4.5322,4.5421,4.5421,0.0
2020-10-20,4.56595,4.58982,4.5599,4.5691,4.5691,0.0
2020-10-21,4.5603,4.59101,4.5498,4.55983,4.55983,0.0
2020-10-22,4.56374,4.59122,4.5616,4.5679,4.5679,0.0
2020-10-23,4.57137,4.58918,4.5677,4.57143,4.57143,0.0
2020-10-26,4.56401,4.58538,4.5562,4.56496,4.56496,0.0
2020-10-27,4.57621,4.59049,4.5701,4.57654,4.57654,0.0
2020-10-28,4.58348,4.63421,4.578,4.58481,4.58481,0.0
2020-10-29,4.62921,4.64358,4.6054,4.62946,4.62946,0.0
2020-10-30,4.62212,4.63013,4.6084,4.6219,4.6219,0.0
2020-11-02,4.60752,4.61516,4.5889,4.60677,4.60677,0.0
2020-11-03,4.5987,4.60249,4.5339,4.59978,4.59978,0.0
2020-11-04,4.54169,4.60029,4.5213,4.53959,4.53959,0.0
2020-11-05,4.53404,4.54509,4.5028,4.53395,4.53395,0.0
2020-11-06,4.5249,4.54093,4.5004,4.52238,4.52238,0.0
2020-11-09,4.50259,4.50438,4.45924,4.50247,4.50247,0.0
2020-11-10,4.47853,4.50971,4.4765,4.4783,4.4783,0.0
2020-11-11,4.49653,4.5057,4.47682,4.4959,4.4959,0.0
2020-11-12,4.47866,4.49299,4.4739,4.4769,4.4769,0.0
2020-11-13,4.4863,4.4999,4.47824,4.4856,4.4856,0.0
2020-11-16,4.48122,4.49119,4.4595,4.48125,4.48125,0.0
2020-11-17,4.46622,4.50162,4.4648,4.466,4.466,0.0
2020-11-18,4.48733,4.49109,4.4627,4.48661,4.48661,0.0
2020-11-19,4.46508,4.48153,4.4572,4.46519,4.46519,0.0
2020-11-20,4.46548,4.4747,4.4568,4.4638,4.4638,0.0
2020-11-23,4.46489,4.47768,4.458,4.46416,4.46416,0.0
2020-11-24,4.4653,4.47318,4.4568,4.46905,4.46905,0.0
2020-11-25,4.4593,4.47449,4.4563,4.4596,4.4596,0.0
2020-11-26,4.46191,4.47751,4.4595,4.4598,4.4598,0.0
2020-11-27,4.47523,4.49245,4.47,4.47399,4.47399,0.0
2020-11-30,4.48565,4.48869,4.4639,4.48583,4.48583,0.0
2020-12-01,4.47807,4.48278,4.4442,4.47796,4.47796,0.0
2020-12-02,4.44282,4.48946,4.4398,4.44315,4.44315,0.0
2020-12-03,4.47074,4.48449,4.4628,4.47138,4.47138,0.0
2020-12-04,4.4672,4.48017,4.4617,4.46711,4.46711,0.0
2020-12-07,4.46372,4.48101,4.4568,4.4664,4.4664,0.0
2020-12-08,4.47318,4.48657,4.4447,4.47312,4.47312,0.0
2020-12-09,4.44753,4.44992,4.414,4.44861,4.44861,0.0
2020-12-10,4.42391,4.43347,4.4173,4.42577,4.42577,0.0
2020-12-11,4.42621,4.44634,4.4187,4.4262,4.4262,0.0
2020-12-14,4.44189,4.46126,4.4258,4.44145,4.44145,0.0
2020-12-15,4.43376,4.44848,4.4278,4.43267,4.43267,0.0
2020-12-16,4.43395,4.44628,4.4232,4.43403,4.43403,0.0
2020-12-17,4.43482,4.44299,4.4247,4.4335,4.4335,0.0
2020-12-18,4.43545,4.51056,4.4317,4.4331,4.4331,0.0
2020-12-21,4.47715,4.52363,4.4756,4.47731,4.47731,0.0
2020-12-22,4.49237,4.51531,4.4878,4.49237,4.49237,0.0
2020-12-23,4.5013,4.50933,4.4868,4.5059,4.5059,0.0
2020-12-24,4.49853,4.5087,4.4924,4.49877,4.49877,0.0
2020-12-25,4.4979,4.5188,4.4933,4.4964,4.4964,0.0
2020-12-28,4.49917,4.51545,4.48,4.49953,4.49953,0.0
2020-12-29,4.4943,4.56913,4.4769,4.4894,4.4894,0.0
2020-12-30,4.5398,4.60315,4.51389,4.53913,4.53913,0.0
2020-12-31,4.57883,4.62119,4.54885,4.57891,4.57891,0.0
2021-01-01,4.5356,4.5631,4.5216,4.5321,4.5321,0.0
2021-01-04,4.55642,4.56025,4.52551,4.55664,4.55664,0.0
2021-01-05,4.55311,4.56022,4.53009,4.553,4.553,0.0
2021-01-06,4.52892,4.53342,4.5034,4.52918,4.52918,0.0
2021-01-07,4.52245,4.52616,4.4925,4.52296,4.52296,0.0
2021-01-08,4.51569,4.52768,4.5047,4.51613,4.51613,0.0
2021-01-11,4.50964,4.53252,4.505,4.51019,4.51019,0.0
2021-01-12,4.52325,4.5284,4.5139,4.5225,4.5225,0.0
2021-01-13,4.51999,4.54148,4.516,4.51923,4.51923,0.0
2021-01-14,4.53925,4.55085,4.5316,4.5362,4.5362,0.0
2021-01-15,4.5363,4.54919,4.5322,4.5366,4.5366,0.0
2021-01-18,4.53431,4.54732,4.524,4.53401,4.53401,0.0
2021-01-19,4.53228,4.53734,4.5216,4.52953,4.52953,0.0
2021-01-20,4.53271,4.54632,4.5185,4.53266,4.53266,0.0
2021-01-21,4.53338,4.53494,4.5219,4.5312,4.5312,0.0
2021-01-22,4.528,4.54367,4.526,4.5286,4.5286,0.0
2021-01-25,4.53781,4.54268,4.5306,4.53788,4.53788,0.0
2021-01-26,4.5391,4.55292,4.535,4.53832,4.53832,0.0
2021-01-27,4.54355,4.55386,4.5386,4.5395,4.5395,0.0
2021-01-28,4.54658,4.56061,4.5358,4.54607,4.54607,0.0
2021-01-29,4.54064,4.54285,4.515,4.5363,4.5363,0.0
